iter	Logloss
0	0.6036824968
1	0.5270203199
2	0.4683957391
3	0.4071815184
4	0.3667085606
5	0.3224554095
6	0.2873930609
7	0.2528754535
8	0.2246843655
9	0.2004435547
10	0.1802595954
11	0.1627359633
12	0.1457557489
13	0.1317212038
14	0.1186203811
15	0.1081398331
16	0.09991696187
17	0.08972744618
18	0.08273052848
19	0.07656122319
20	0.07100617595
21	0.06729204749
22	0.06386225323
23	0.0600828576
24	0.05722345187
25	0.05445175301
26	0.05216223538
27	0.04977309548
28	0.04808646658
29	0.04642854546
30	0.04501250785
31	0.04369879172
32	0.04234533278
33	0.04073991588
34	0.03913619127
35	0.03816252713
36	0.03734979808
37	0.03640319666
38	0.03586109483
39	0.03435855793
40	0.03329225203
41	0.03251312781
42	0.03210361132
43	0.03150731355
44	0.03101143676
45	0.03047555106
46	0.0297289029
47	0.02918356126
48	0.02873701526
49	0.02842040918
50	0.02765209209
51	0.02700267767
52	0.02665287204
53	0.02620365786
54	0.02588245827
55	0.02557889115
56	0.02522252653
57	0.02484699239
58	0.0245421688
59	0.02423504479
60	0.02394518779
61	0.02371235208
62	0.02355105737
63	0.02331748687
64	0.0229762162
65	0.02286641973
66	0.02268520989
67	0.02237719415
68	0.02220406113
69	0.02201671567
70	0.021905887
71	0.02164943388
72	0.02149763355
73	0.02130252276
74	0.02115778472
75	0.02093985455
76	0.02072859456
77	0.02051927747
78	0.02039245562
79	0.02028332275
80	0.02011339146
81	0.01998796141
82	0.01983685493
83	0.01968396146
84	0.01948644168
85	0.01929417626
86	0.01916166007
87	0.01904816274
88	0.0188529139
89	0.01879417477
90	0.01868534629
91	0.01855755617
92	0.01846362104
93	0.01839230558
94	0.01823634447
95	0.01819338236
96	0.01805169862
97	0.01795503051
98	0.01782503177
99	0.01773703195
100	0.0176481901
101	0.01746038338
102	0.01738483462
103	0.01724943196
104	0.01717139142
105	0.01710793799
106	0.01702987597
107	0.01686581448
108	0.01679789418
109	0.01672841964
110	0.0166291147
111	0.01656113279
112	0.0164807262
113	0.01636012934
114	0.01627294545
115	0.01611248985
116	0.01600266411
117	0.01594383564
118	0.01586971127
119	0.01572126164
120	0.0156541665
121	0.01558145694
122	0.01547002541
123	0.01540448463
124	0.01534259627
125	0.01519796818
126	0.0150839109
127	0.01502460191
128	0.01496836728
129	0.0149067022
130	0.01481740556
131	0.01469397395
132	0.01457059175
133	0.01447791264
134	0.01439124487
135	0.0143322773
136	0.01428381593
137	0.01421215776
138	0.01415443381
139	0.01405573038
140	0.01400132921
141	0.01392787874
142	0.0138144167
143	0.01374701148
144	0.01369519339
145	0.01360301375
146	0.0135345987
147	0.01342392057
148	0.01335512881
149	0.01330932509
150	0.01325111951
151	0.01319830294
152	0.01312931363
153	0.01305909452
154	0.0130022547
155	0.01294032044
156	0.01281653607
157	0.01275252085
158	0.01268868089
159	0.01261506515
160	0.01257459485
161	0.01254661552
162	0.01246433776
163	0.01237460647
164	0.01233589372
165	0.01229130618
166	0.01220166584
167	0.0121628405
168	0.01211379782
169	0.01207582134
170	0.01202434759
171	0.0119811061
172	0.01194766076
173	0.01190388426
174	0.01186553961
175	0.0118343759
176	0.01177996778
177	0.01173074351
178	0.01165659643
179	0.01156673791
180	0.01149886624
181	0.01145189396
182	0.01139196069
183	0.01135721839
184	0.01131289334
185	0.01126827483
186	0.01121909895
187	0.01119212694
188	0.0111637769
189	0.01108883385
190	0.01105051585
191	0.01098424385
192	0.01091700283
193	0.01084216817
194	0.01079146921
195	0.01075075375
196	0.0107234796
197	0.01070460021
198	0.01066802
199	0.01062586798
200	0.01057306932
201	0.01053833679
202	0.01051282835
203	0.01043569148
204	0.01038544349
205	0.01034157798
206	0.01030442652
207	0.01026700214
208	0.0102356326
209	0.01019080701
210	0.01015109702
211	0.01010772631
212	0.01006424493
213	0.01002727778
214	0.01001144589
215	0.009972060528
216	0.009941216774
217	0.009895560068
218	0.009861529903
219	0.00983073502
220	0.009803829651
221	0.009742863162
222	0.009707333539
223	0.009681058434
224	0.009662993658
225	0.009607511577
226	0.009572051193
227	0.009537878496
228	0.009500515527
229	0.009493615642
230	0.009462464874
231	0.009443025501
232	0.009396906975
233	0.009358076079
234	0.009287677393
235	0.009268165835
236	0.009248502646
237	0.009219430218
238	0.009185501594
239	0.009161720491
240	0.00912716662
241	0.009106478434
242	0.009068296734
243	0.009050498523
244	0.009006303716
245	0.008979386824
246	0.008950431528
247	0.008929127085
248	0.008879556838
249	0.008849879057
250	0.00883307517
251	0.008811246669
252	0.008770702313
253	0.008740406384
254	0.008704249377
255	0.00867089998
256	0.008631338268
257	0.008609010589
258	0.008562294001
259	0.008546132495
260	0.008506376442
261	0.008477638717
262	0.008432067495
263	0.008427124167
264	0.008384099215
265	0.008367945782
266	0.008344932074
267	0.008333994631
268	0.008310697065
269	0.008283389936
270	0.008256454355
271	0.00822595483
272	0.008205039377
273	0.008173340162
274	0.008156642515
275	0.008131969268
276	0.008099728362
277	0.008065071597
278	0.008028383183
279	0.00801030798
280	0.008000096003
281	0.007987022475
282	0.007968073801
283	0.007956280701
284	0.00793725736
285	0.007907180361
286	0.007870509332
287	0.007843568774
288	0.00781152063
289	0.007796497374
290	0.007772700423
291	0.007738676869
292	0.007695085676
293	0.007664799924
294	0.007621679898
295	0.007611731505
296	0.00757657028
297	0.007536807824
298	0.007522555581
299	0.007495998518
300	0.007475020178
301	0.007447115471
302	0.007415381938
303	0.007384640346
304	0.007350791374
305	0.007309819453
306	0.007287926715
307	0.007271653454
308	0.007248425054
309	0.00721810641
310	0.007183743316
311	0.007154945197
312	0.007138610305
313	0.00711978146
314	0.007103340826
315	0.007089441955
316	0.007076983103
317	0.007049499745
318	0.007027659927
319	0.007025388523
320	0.007008906641
321	0.006995104882
322	0.00696520693
323	0.006943927285
324	0.006926165115
325	0.006918655829
326	0.006880120242
327	0.006858971958
328	0.006833652397
329	0.006821108706
330	0.0068092725
331	0.006788132092
332	0.006769864188
333	0.006761760899
334	0.006747705228
335	0.006735556835
336	0.006697538096
337	0.006680637561
338	0.006656069999
